Player,Position,Games Played,Solo Tackles,Asst Tackles,Total Tackles,Tackles Per Game,Total Sacks,Sacks Per Game,Forced Fumbles,Fumbles Recovered,Passes Defended,Int,Int Ret Yds,Yds Per Int,Int Ret TDs
Abdullah Anderson,DL,16,15,25,40,2.5,1.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0
Abry Jones,DT,16,23,16,39,2.44,3.0,0.19,1.0,0.0,1.0,0.0,0.0,0.0,0
Abry Jones,LDT,31,39,23,62,2.0,3.0,0.1,1.0,2.0,6.0,0.0,0.0,0.0,0
Abry Jones,LDT/RDT,15,21,8,29,1.93,1.0,0.07,0.0,0.0,2.0,0.0,0.0,0.0,0
Abry Jones,RDT,15,26,6,32,2.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Adam Butler,DT,31,35,25,60,1.94,10.0,0.32,0.0,0.0,7.0,0.0,0.0,0.0,0
Adam Gotsis,DT,16,20,7,27,1.69,3.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0
Adam Gotsis,RDE,48,71,45,116,2.42,5.0,0.1,3.0,2.0,13.0,0.0,0.0,0.0,0
Adam Hayward,LB,16,19,7,26,1.62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Adam Jones,DB,16,51,12,63,3.94,0.0,0.0,0.0,1.0,11.0,3.0,23.0,7.67,0
Adam Jones,RCB,55,170,37,207,3.76,1.0,0.02,3.0,3.0,35.0,8.0,76.0,9.5,1
